ACCOUNT NO.,ACCOUNT NAME,SD BAL,TD BAL,TD OPT VAL,TD STK/BD VAL,EQUITY,
644-06865-D8,SIMPLEX INTEREST,24.90CR,24.90CR,0.00,0.00,24.90,
644-40300-D4,SIMPLEX TRADING - MM,236194532.09,77914426.01,172164207.90,-83671094.90,10578686.99,
644-40846-D6,SIMPLEX TRADING - MM SS GL,3900418.81CR,3900418.81CR,0.00,0.00,3900418.81,
644-40865-D6,SIMPLEX INTEREST,6560962.99,6560962.99,0.00,0.00,-6560962.99
644-98315-D3,SIMPLEX TRADING - JBO,0.00,0.00,0.00,0.00,0.00,
644-99821-D9,SIMPLEX CAPITAL,222522399.16CR,222522399.16CR,0.00,0.00,222522399.16,
644-99865-D6,SIMPLEX INTEREST,901568.98CR,901568.98CR,0.00,0.00,901568.98,
