,CRDID,FINRAMember,firmName,IMID,exchangeID,ATSFlag,defaultIMIDFlag
3246,8174,Y,UBS FINANCIAL SERVICES INC.,UBSF,CBOE,,
3454,8209,Y,MORGAN STANLEY & CO. LLC,MSAC,CBOE,,
3455,8209,Y,MORGAN STANLEY & CO. LLC,MSAC,EDGXOP,,
3459,8209,Y,MORGAN STANLEY & CO. LLC,MSCE,BZXOP,,
3460,8209,Y,MORGAN STANLEY & CO. LLC,MSCE,C2,,
3461,8209,Y,MORGAN STANLEY & CO. LLC,MSCE,CBOE,,
3462,8209,Y,MORGAN STANLEY & CO. LLC,MSCE,EDGXOP,,
3463,8209,Y,MORGAN STANLEY & CO. LLC,MSCF,BZXOP,,
3464,8209,Y,MORGAN STANLEY & CO. LLC,MSCN,CBOE,,
3472,8209,Y,MORGAN STANLEY & CO. LLC,MSCO,BZXOP,,Y
3473,8209,Y,MORGAN STANLEY & CO. LLC,MSCO,C2,,Y
3474,8209,Y,MORGAN STANLEY & CO. LLC,MSCO,CBOE,,Y
3478,8209,Y,MORGAN STANLEY & CO. LLC,MSCO,EDGXOP,,Y
3916,13041,Y,NATIONAL FINANCIAL SERVICES LLC,NFSC,BZXOP,,Y
3917,13041,Y,NATIONAL FINANCIAL SERVICES LLC,NFSC,C2,,Y
3918,13041,Y,NATIONAL FINANCIAL SERVICES LLC,NFSC,CBOE,,Y
4063,13071,Y,APEX CLEARING CORPORATION,ZXYA,BZXOP,,
4064,13071,Y,APEX CLEARING CORPORATION,ZXYA,C2,,
4065,13071,Y,APEX CLEARING CORPORATION,ZXYA,CBOE,,
4066,13071,Y,APEX CLEARING CORPORATION,ZXYA,EDGXOP,,
4067,13071,Y,APEX CLEARING CORPORATION,ZXYC,BZXOP,,
4068,13071,Y,APEX CLEARING CORPORATION,ZXYC,CBOE,,
4069,13071,Y,APEX CLEARING CORPORATION,ZXYC,EDGXOP,,
4070,13071,Y,APEX CLEARING CORPORATION,ZXYZ,BZXOP,,
4071,13071,Y,APEX CLEARING CORPORATION,ZXYZ,C2,,
4072,13071,Y,APEX CLEARING CORPORATION,ZXYZ,CBOE,,
4130,14020,Y,ABN AMRO CLEARING USA LLC,AACA,BZXOP,,
4131,14020,Y,ABN AMRO CLEARING USA LLC,AACA,C2,,
4132,14020,Y,ABN AMRO CLEARING USA LLC,AACA,CBOE,,
4133,14020,Y,ABN AMRO CLEARING USA LLC,AACA,EDGXOP,,
4136,14020,Y,ABN AMRO CLEARING USA LLC,AACB,BZXOP,,
4137,14020,Y,ABN AMRO CLEARING USA LLC,AACB,C2,,
