orig_vendor_name,matched_vendor_name
PTR INC-AMEX,PTR INC-AMEX
The Michael Law Group PC,"The Michael Law Group, PC"
Connect Search,Connect Search
CPS Recruiting,CPS Recruiting
"Faegre, Baker & Daniels",Faegre Drinker Biddle & Reath LLP
RQD Clearing,RQD Clearing
SingleStore,SingleStore
CBOE,CBOE
CDW,CDW Direct
Cloud9,Cloud9
CME (Trading),CME (Trading)
Employee Benefits Corporation,Employee Benefits Corporation
Iron Mountain (CC),Iron Mountain
FIF,Financial Information Forum
Fooda,Fooda
GTT,GTT
Tradecraft Outfitters,Tradecraft
Nasdaq,Nasdaq
Office Revolution,Office Revolution
SIFMA,SIFMA
CME (Tech),CME (Tech)
MEMX,MEMX
StayOnline,StayOnline
Walkers,Walkers
Wall St Access,Wall St Access
Extenet,Extenet
Fitness Formula Club,FFC
AT&T Auto,AT&T Auto
BNP Paribas,BNP Paribas
Dinosaur,Dinosaur
Dynamex,Dynamex
ED&F Man,ED&F Man
ELIX Derivatives,Elix Derivatives (IDB)
FOG Equities,FOG Equities
JP Morgan ECS,JP Morgan Securities
Leerink,Leerink (IDB)
Key Capital Partners,Key Capital Partners
OTCex,OTCex
Matrix Executions (SPX),Matrix Executions (SPX)
Matrix Executions (QRX),Matrix Executions (QRX)
Odeon Capital,Odeon Capital
Rosenblatt Securities,Rosenblatt Securities
StoneX,StoneX (FL)
Vision,Vision
Wells Fargo,Wells Fargo
SmartSearch,SmartSearch
Factset,FactSet
Anova,Anova
BridgeView,BridgeView (IDB)
Marcum,Marcum
Third Coast Productions,Third Coast Productions
SocGen (Options),Sanford Bernstein
Cherry Circle Room,Cherry Circle Room
BTG Pactual,BTG Pactual
Dash,Dash
Memx,MEMX
Chicago Messenger Service,Chicago Messenger Service
Symphony,Symphony
Iron Mountain,Iron Mountain
Quench,Quench
Steptoe & Johnson,Steptoe
OneChronos,OneChronos
Citigroup Global Markets,Citigroup Global Markets
The Mom Project,The Giving Project
Matrix Executions (Schaer),Matrix Executions (Compression)
Puma Capital,Puma Capital
Chapman,Chapman
SpiderRock EXS,SpiderRock EXS
XPI Securities,XP Investments
Huxley,Huxley
Locke Lord,Locke Lord
KLDiscovery,KLDiscovery
IMS Consulting,IMS Consulting
Quest CE,Quest CE
Elix Derivatives,Elix Derivatives (IDB)
PureStream,PureStream
TradeZero,TradeZero
Sunrise,Sunrise
Evercore,Evercore
XP Investments,XP Investments
StoneX (KC),StoneX (KC)
StoneX (FL),StoneX (FL)
CablePlus,CablePlus
Connor Hunt Memorial Foundation,Connor Hunt Memorial Foundation
DevExperts,DevExperts
Investors Exchange,Investors Exchange
KL Discovery,KLDiscovery
"Command Line Compliance, LLC",Command Line Compliance
Barclays,Barclays
Matrix Executions (Consolidator-WS),Macro Risk Advisors
Heidrick & Struggles,Heidrick & Struggles
Mark IV,Mark IV
MemX,MEMX
Katten Muchin Rosenman,Katten Muchin Rosenman
Devexperts,DevExperts
Matrix Executions (Consolidator-L),Matrix Executions (Consolidator-L)
Barnes & Thornburg (Investments),Barnes & Thornburg (Investments)
SRT Securities (stock),SRT Securities (Stock)
Baycrest (IDB),Baycrest (IDB)
Baycrest (IX),Baycrest (IX)
SRT Securities (IDB/IX),SRT Securities (IDB)
Wolverine (IDB),Wolverine (IDB)
Wolverine (IX),Wolverine (IX)
XFA (IX),XFA (IX)
PerformYard,PerformYard
BGC (Mint),BGC (Mint)
Good Game Operations LLC,Good Game Operations
Immediate Service Solutions,Immediate Service Solutions
Project Affinity,Project Affinity
Steptoe,Steptoe
XFA (IDB),XFA (IDB)
Woodseer,Woodseer
Alexander Chapman,Alexander Chapman
SRT Securities (IDB),SRT Securities (IDB)
Liquid 8 Technology,Liquid 8 Technologies
Canadian Security Traders Association,Canadian Security Traders Association
Matrix Executions (schaer),Matrix Executions (Schaer)
Command Line Compliance,Command Line Compliance
LinkedIn,Linkedin
Traliant,Traliant
GFI (IX),GFI (IX)
Chemical Personnel Search,Chemical Personnel Search
Good Game Operations,Good Game Operations
Lambda League,Lambda League
PECO,PECO
BGC (mint),BGC (Mint)
CME (holdings),CME (Holdings)
Cogency Global,Cogency Global
Wallachbeth,WallachBeth
Wedbush,Wedbush
Benesch,Benesch
JB Drax Honore (UK),JB Drax Honore (UK)
Matrix Executions (ht),Matrix Executions (HT)
Matrix Executions (qrx),Matrix Executions (QRX)
RFA Securities,RFA Securities
Security Traders Association of Wisconsin,Security Traders Association of Wisconsin
Williams Barber & Morel,Williams Barber & Morel
Magen (IDB),Magen (IDB)
MIAX Equities,Miax Equities
Shield,Shield (IDB)
Bridgeview (IDB),BridgeView (IDB)
Bridgeview (IX),BridgeView (IX)
Magen (IX),Magen (IX)
Nomura (IDB),Nomura (IDB)
Port53,Port53
AlphaVantage,AlphaVantage
Built In,Built In
FFC,FFC
Greenhouse,Greenhouse
JB Drax Honore (US),JB Drax Honore (US)
Bloomberg (ppd),Bloomberg
BridgeView (IDB),BridgeView (IDB)
BridgeView (IX),BridgeView (IX)
BSO Network,BSO Network
Duane Street Capital,Duane Street Capital
Elix Derivatives (IDB),Elix Derivatives (IDB)
Elix Derivatives (IX),Elix Derivatives (IX)
FTI Consulting,FTI Consulting
GFI (IX - Aurel),GFI (IX - Aurel)
Actant,Actant
Hamilton Barnes,Hamilton
Security Traders Association of Chicago,Security Traders Association of Chicago
Zayo (ppd),Zayo (ppd)
Barnes & Thornburg (Holdings),Barnes & Thornburg (Holdings)
BofA Ports,BofA Ports
O'Connor Designs,O'Connor Designs
Piper Sandler (IDB),Piper Sandler (IDB)
Piper Sandler (IX),Piper Sandler (IX)
Silvertide,Silvertide
The Benefit Practice,The Benefit Practice
Bay Networks Inc,Bay Networks Inc
Financial Information Forum,Financial Information Forum
Needham,Needham
Nexus,Nexus
Mariana UFP,Mariana UFP
Shield (IDB),Shield (IDB)
SRT Securities (Stock),SRT Securities (Stock)
TJM (IDB),TJM (IDB)
Wolters Kluwer,Wolters Kluwer
Leerink (IDB),Leerink (IDB)
Leerink (IX),Leerink (IX)
Security Traders Association of Arizona,Security Traders Association of Arizona
TJM (IX),TJM (IX)
Archr,Archr
"Ascensus, LLC/Wrangle","Ascensus, LLC/Wrangle"
BOX Options,BOX Options
